product_ean,sales_pieces,sales_turnover_gross,store_id,sales_date_id,sales_receipt
9096004,1.0,21600.0,53,20191215,116495972
9096004,8.0,172800.0,53,20191215,116446101
9096004,1.0,21600.0,53,20191214,116333476
9096004,1.0,21600.0,53,20191210,114982905
9096004,2.0,43200.0,53,20191213,115941667
9096004,1.0,21600.0,53,20191215,116445285
9096004,5.0,108000.0,53,20191215,116442853
9096004,1.0,21600.0,53,20191214,116334195
9096004,1.0,21600.0,53,20191214,116315845
9096004,6.0,129600.0,53,20191214,116076844
9096004,1.0,21600.0,53,20191214,116244576
9096004,1.0,21600.0,53,20191215,116483534
9096004,1.0,21600.0,53,20191213,115947052
9110167,4.0,87200.0,53,20191201,110030002
9110167,2.0,43600.0,53,20191208,113638718
9096004,1.0,21500.0,53,20191202,110455490
9096004,1.0,21500.0,53,20191204,111230714
9096004,1.0,21500.0,53,20191204,111331450
9096004,1.0,21500.0,53,20191202,110520334
9096004,1.0,21500.0,53,20191203,110884182
9096004,1.0,21500.0,53,20191202,110584811
9096004,2.0,43000.0,53,20191203,110726346
9096004,2.0,43000.0,53,20191204,111349496
9096004,1.0,21500.0,53,20191202,110394697
9096004,1.0,21500.0,53,20191202,110428660
9096004,1.0,21500.0,53,20191202,110576289
9096004,1.0,21600.0,53,20191201,110112943
9096004,1.0,21500.0,53,20191204,111226291
9096004,1.0,21500.0,53,20191204,111315574
9096004,1.0,21500.0,53,20191204,111351172
9096004,1.0,21500.0,53,20191202,110564313
9096004,1.0,21500.0,53,20191202,110479313
9096004,1.0,21500.0,53,20191204,111029232
9096004,1.0,21500.0,53,20191205,111702331
9096004,1.0,21500.0,53,20191202,110584239
9096004,1.0,21500.0,53,20191203,110881990
9096004,3.0,64500.0,53,20191206,112736648
9096004,2.0,43200.0,53,20191208,113747241
9096004,1.0,21500.0,53,20191206,112532051
9096004,1.0,21500.0,53,20191207,113174513
9096004,2.0,43200.0,53,20191207,113478182
9096004,2.0,43000.0,53,20191205,111683950
9096004,1.0,21500.0,53,20191205,111840543
9096004,2.0,43000.0,53,20191206,112455757
9096004,1.0,21500.0,53,20191205,111944471
9096004,1.0,21600.0,53,20191207,113351834
9096004,1.0,21500.0,53,20191205,111598190
9096004,1.0,21600.0,53,20191208,113931763
9096004,1.0,21500.0,53,20191206,112452634
9096004,2.0,43200.0,53,20191208,113700480
9096004,1.0,21600.0,53,20191207,113416100
9096004,1.0,21600.0,53,20191208,113719978
9096004,1.0,21500.0,53,20191207,113259932
9096004,1.0,21600.0,53,20191207,113384642
9096004,1.0,21600.0,53,20191208,113908071
9096004,1.0,21600.0,53,20191209,114588571
9096004,1.0,21600.0,53,20191209,114642562
9110167,1.0,21800.0,53,20191209,114599223
9110167,2.0,43600.0,53,20191208,113956369
9110167,1.0,21800.0,53,20191207,113522645
9424999,1.0,214500.0,287,20191215,116461471
9811026,1.0,217000.0,287,20191215,116518912
9424999,1.0,214500.0,287,20191213,115774012
9811026,1.0,217000.0,287,20191215,116519539
9424999,1.0,214500.0,287,20191214,116060980
9424999,1.0,214500.0,287,20191215,116410584
9424999,2.0,429000.0,287,20191215,116518912
9811026,3.0,651000.0,287,20191213,115827007
9424999,1.0,214500.0,287,20191214,116282488
9424999,1.0,214500.0,287,20191215,116462696
9424999,2.0,429000.0,287,20191215,116519539
9424999,1.0,214500.0,287,20191214,116109661
9110167,1.0,22400.0,4,20191212,115377144
9110167,1.0,22400.0,4,20191210,114935392
9110167,2.0,44200.0,4,20191209,114653564
9110167,1.0,22400.0,4,20191212,115374682
9110167,3.0,65400.0,4,20191210,115023852
9110167,1.0,22400.0,4,20191210,114870731
9110167,1.0,22400.0,4,20191212,115557337
9110167,1.0,22400.0,4,20191213,115711435
9110167,2.0,44200.0,4,20191212,115368724
9110167,1.0,22400.0,4,20191209,114607725
9110167,3.0,65400.0,4,20191211,115306881
9110167,1.0,22400.0,4,20191212,115573001
9110167,5.0,109000.0,4,20191212,115651647
9110167,3.0,65400.0,4,20191211,115326556
9110167,3.0,65400.0,4,20191211,115127834
9110167,1.0,22400.0,4,20191212,115437857
9110167,1.0,22400.0,4,20191211,115074225
9110167,3.0,65400.0,4,20191213,115746141
9110167,5.0,109000.0,4,20191212,115613887
9110167,2.0,44200.0,4,20191213,115717683
9110167,1.0,22400.0,4,20191213,115806393
9110167,30.0,649500.0,4,20191213,115795397
9110167,3.0,65400.0,4,20191215,116392351
9110167,3.0,65400.0,4,20191215,116630349
9110167,5.0,109000.0,4,20191214,116111255
9110167,1.0,22400.0,4,20191214,116160077
9110167,3.0,65400.0,4,20191215,116559449
9110167,5.0,109000.0,4,20191214,116316030
9110167,1.0,22400.0,4,20191214,116317288
9110167,3.0,65400.0,4,20191213,115715155
9110167,1.0,22400.0,4,20191213,115841174
9110167,3.0,65400.0,4,20191215,116513551
9110167,1.0,22400.0,4,20191214,116345393
9110167,3.0,65400.0,4,20191214,116338501
9110167,3.0,65400.0,4,20191214,116160164
9110167,1.0,22400.0,4,20191213,115875008
9110167,1.0,22400.0,4,20191214,116305052
9110167,2.0,44200.0,4,20191213,115958648
9110167,1.0,22400.0,4,20191213,115886225
9110167,1.0,22400.0,4,20191213,115994738
9110167,3.0,65400.0,4,20191214,116037177
9110167,5.0,109000.0,4,20191215,116444538
9110167,1.0,22400.0,4,20191214,116169809
9110167,1.0,22400.0,4,20191214,116061641
9110167,3.0,65400.0,4,20191214,116227344
9110167,2.0,44200.0,4,20191215,116472761
9110167,3.0,65400.0,4,20191214,116185812
9110167,4.0,87200.0,4,20191214,116163180
9110167,1.0,22400.0,4,20191214,116331867
9110167,2.0,44200.0,4,20191214,116025749
9110167,3.0,65400.0,4,20191213,116001276
9110167,1.0,22400.0,4,20191214,116307124
9110167,5.0,109000.0,4,20191213,115943143
9110167,3.0,65400.0,4,20191214,116063976
9110167,1.0,22400.0,4,20191214,116227463
9110167,2.0,44200.0,4,20191214,116324327
9110167,1.0,22400.0,4,20191213,115980850
9110167,3.0,65400.0,4,20191214,116075111
9110167,2.0,44200.0,4,20191213,115948242
9110167,3.0,65400.0,4,20191215,116504768
9110167,10.0,216500.0,4,20191213,116008960
9110167,2.0,44200.0,4,20191215,116483323
9424999,3.0,64200.0,4,20191215,116534342
9424999,1.0,22200.0,4,20191213,115872261
9424999,2.0,43200.0,4,20191213,115875008
9424999,1.0,22200.0,4,20191215,116363357
9424999,1.0,22200.0,4,20191210,115019331
9424999,3.0,64200.0,4,20191215,116572267
9424999,10.0,213750.0,4,20191215,116518350
9424999,1.0,22200.0,4,20191213,115853798
9424999,1.0,22200.0,4,20191212,115691809
9424999,1.0,22200.0,4,20191214,116188254
9424999,3.0,64200.0,4,20191210,114949203
9424999,2.0,43200.0,4,20191213,115743801
9424999,1.0,22200.0,4,20191213,115768397
9424999,1.0,22200.0,4,20191212,115687155
9424999,3.0,64200.0,4,20191213,115715155
9424999,1.0,22200.0,4,20191215,116412694
9424999,5.0,107000.0,4,20191214,116162764
9424999,10.0,213750.0,4,20191215,116528366
9424999,5.0,107000.0,4,20191214,116244901
9424999,5.0,107000.0,4,20191215,116444538
9424999,4.0,85600.0,4,20191215,116545473
9424999,1.0,22200.0,4,20191215,116427740
9424999,1.0,22200.0,4,20191215,116406095
9424999,1.0,22200.0,4,20191215,116562850
9424999,3.0,64200.0,4,20191214,116185812
9424999,2.0,43200.0,4,20191212,115680980
9096004,2.0,43400.0,31,20191204,111123583
9096004,3.0,65100.0,31,20191203,110673831
9096004,5.0,108500.0,31,20191202,110331443
9096004,1.0,21700.0,31,20191201,109990532
9096004,2.0,43400.0,31,20191202,110288144
9096004,1.0,21700.0,31,20191203,110636451
9096004,1.0,21700.0,31,20191204,110976737
9096004,1.0,21700.0,31,20191201,109961413
9096004,3.0,65100.0,31,20191201,110128993
9096004,1.0,21700.0,31,20191204,111207855
9096004,1.0,21700.0,31,20191202,110271772
9096004,2.0,43400.0,31,20191203,110735137
9096004,2.0,43400.0,31,20191201,110120790
9096004,1.0,21700.0,31,20191204,110975446
9096004,5.0,108500.0,31,20191204,111268646
9096004,2.0,43400.0,31,20191204,111218959
9096004,2.0,43400.0,31,20191204,111124916
